Index       TIME             V(VREF)     
407      8.50236344e-06    3.67085563e-01
408      8.50245938e-06    3.67081295e-01
409      8.50255531e-06    3.67083090e-01
410      8.50265124e-06    3.67088596e-01
411      8.50274718e-06    3.67098223e-01
412      8.50276156e-06    3.67102624e-01
413      8.50277594e-06    3.67109687e-01
414      8.50280471e-06    3.67122797e-01
415      8.50282921e-06    3.67127737e-01
416      8.50285371e-06    3.67127815e-01
417      8.50287821e-06    3.67124306e-01
418      8.50290272e-06    3.67123361e-01
419      8.50292722e-06    3.67129120e-01
420      8.50295172e-06    3.67144631e-01
421      8.50300073e-06    3.67197692e-01
422      8.50300659e-06    3.67202302e-01
423      8.50301245e-06    3.67205385e-01
424      8.50301831e-06    3.67205060e-01
425      8.50303003e-06    3.67192722e-01
426      8.50304175e-06    3.67165001e-01
427      8.50306520e-06    3.67082357e-01
428      8.50308537e-06    3.67006360e-01
429      8.50310555e-06    3.66947238e-01
430      8.50312572e-06    3.66909047e-01
431      8.50314590e-06    3.66886921e-01
432      8.50316607e-06    3.66874365e-01
433      8.50318625e-06    3.66869653e-01
434      8.50320642e-06    3.66869076e-01
435      8.50322660e-06    3.66866796e-01
436      8.50324677e-06    3.66863180e-01
437      8.50326695e-06    3.66860608e-01
438      8.50330730e-06    3.66857312e-01
439      8.50334765e-06    3.66843262e-01
440      8.50338800e-06    3.66805016e-01
441      8.50346870e-06    3.66628742e-01
442      8.50347374e-06    3.66615117e-01
443      8.50347879e-06    3.66602944e-01
444      8.50348887e-06    3.66593920e-01
445      8.50349795e-06    3.66617100e-01
446      8.50350608e-06    3.66683693e-01
447      8.50351297e-06    3.66785957e-01
448      8.50351368e-06    3.66798779e-01
449      8.50351439e-06    3.66811600e-01
450      8.50351510e-06    3.66824421e-01
451      8.50351652e-06    3.66850063e-01
452      8.50351936e-06    3.66901346e-01
453      8.50352505e-06    3.67003906e-01
454      8.50353641e-06    3.67209003e-01
455      8.50355914e-06    3.67619110e-01
456      8.50358186e-06    3.68029100e-01
457      8.50360459e-06    3.68438972e-01
458      8.50362732e-06    3.68848727e-01
459      8.50365005e-06    3.69258365e-01
460      8.50367277e-06    3.69667885e-01
461      8.50369550e-06    3.70077288e-01
462      8.50369789e-06    3.70120320e-01
463      8.50370267e-06    3.70206380e-01
464      8.50370745e-06    3.70292436e-01
465      8.50371222e-06    3.70378486e-01
466      8.50371700e-06    3.70464532e-01
467      8.50372178e-06    3.70550572e-01
468      8.50372656e-06    3.70636606e-01
469      8.50373134e-06    3.70722636e-01
